CIDADE,ESTADO,LAVANDERIA,PERFIL,UNIDADE DE ATENDIMENTO,PREÇO A PARTIR DE,PREÇO ANUNCIADO,FRETE A PARTIR DE ,INSTALAÇÃO,PEDIDO MÍNIMO,POPULAÇÃO,STATUS,DDD,OBSERVAÇÕES
Catiguá,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,7.855,pausado,17,"Taxa para tapete molhado: R$20,00"
Cedral,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,9.237,pausado,17,"Taxa para tapete molhado: R$20,00"
Cerro Azul,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",17.833,inativa,41,
Cianorte,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,83.816,fazer parceria,44,
Cocal do Sul,SC,L02,P01,Içara/SC,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,16.821,ativa,48,
Cocal do Sul,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$15,00","R$0,00","R$50,00",16.821,ativa,48,
Colombo,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",246.540,inativa,41,
Colombo,PR,,P06,Colombo/PR,"R$55,00","R$62,00","R$0,00","R$0,00","0,00",246.540,inativa,41,
Conceição da Barra de Minas (antiga Cassiterita),MG,L01,P01,São João Del Rei/MG,"R$36,00","R$40,00","R$85,00","R$0,00","R$0,00",3.954,ativa,32,
Contenda,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",18.837,inativa,41,
Coronel Xavier Chaves (antiga Coroas),MG,L01,P01,São João Del Rei/MG,"R$36,00","R$40,00","R$30,00","R$0,00","R$0,00",3.486,ativa,32,
Cotia,SP,L01,"P08, P10, P16",Barueri/SP,"R$29,00","R$35,00",R$4/km a partir do CEP 06447-190 + $10 de pedágio (se houver),"R$0,00",perguntar,253.608,ativa,11,
Cotia,SP,L02,"P08, P10, P16",Osasco/SP,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,253.608,ativa,11,
Cotia,SP,,"P08, P10, P16",São Paulo/SP (Oeste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",253.608,ativa,11,
Criciúma,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$0,00","R$0,00","R$50,00",217.311,ativa,48,
Criciúma,SC,L02,P01,Içara/SC,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,217.311,ativa,48,
Cruzeiro do Oeste,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,20.932,fazer parceria,44,
Cubatão,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",131.626,ativa,13,Acima de 2 clientes
Curitiba,PR,L01,P06,Curitiba/PR,"R$35,00","R$39,00","R$0,00","R$0,00","R$120,00",1.948.626,ativa,41,
Curitiba,PR,L02,P06,Piraquara/PR,"R$50,00","R$56,00","R$0,00","R$0,00","R$25,00",1.948.626,ativa,41,
Curitiba,PR,L03,P06,Pinhais/PR,"R$55,00","R$62,00","R$0,00","R$0,00",perguntar,1.948.626,ativa,41,
Curitiba,PR,,P06,Colombo/PR,"R$55,00","R$62,00","R$0,00","R$0,00","0,00",1.948.626,inativa,41,
Diadema,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$35,00","R$12,00","R$50,00",426.757,ativa,11,
Dores de Campos,MG,L01,P01,São João Del Rei/MG,"R$36,00","R$40,00","R$85,00","R$0,00","R$0,00",10.223,ativa,32,
Doutor Camargo,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,5.987,fazer parceria,44,
Embu das Artes,SP,L01,"P08, P10, P16",Embu das Artes/SP,"R$35,00","R$39,00","R$35,00","R$12,00",perguntar,276.535,ativa,11,até 12km
Embu das Artes,SP,L02,"P08, P10, P16",São Paulo/SP (Oeste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",276.535,ativa,11,Acima de 2 clientes
Embu-Guaçu,SP,L01,P08,,"R$24,00","R$24,00","R$35,00","R$12,00",,69.901,fazer parceria,17,
Estiva Gerbi,SP,L01,P10,Mogi Guaçu/SP,"R$28,00","R$28,00","R$35,00","R$12,00",perguntar,11.407,inativa,19,
Fazenda Rio Grande,PR,,P06,Colombo/PR,"R$55,00","R$62,00","R$0,00","R$0,00","0,00",100.209,inativa,41,
Fazenda Rio Grande,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",100.209,inativa,41,
Ferraz de Vasconcelos,SP,L01,P07,São Paulo/SP (Leste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",196.500,ativa,11,
Florianópolis,SC,L01,P01,Florianópolis/SC,"R$60,00","R$67,00","R$0,00","R$0,00",perguntar,508.826,ativa,48,
Florianópolis,SC,L02,P02,Tijucas/SC,"R$52,00","R$52,00","R$140,00","R$0,00","R$156,00",100.000,pausado,48,Somente a parte continental
